sku_product,sku_variant,retailer,region,channel,available
Amul Cheese,Regular,BigBasket,Gujarat,ecommerce,true
Amul Cheese,Regular,BigBasket,Maharashtra,ecommerce,true
Amul Cheese,Regular,Blinkit,Delhi NCR,quick_commerce,true
Amul Cheese,Regular,DMart,Gujarat,supermarket,true
Amul Cheese,Regular,Reliance Fresh,Delhi NCR,supermarket,true
Amul Cheese,Premium,BigBasket,Delhi NCR,ecommerce,true
Britannia Cheese,Regular,BigBasket,Karnataka,ecommerce,true
Britannia Cheese,Regular,Reliance Fresh,Maharashtra,supermarket,true
Go Cheese,Regular,BigBasket,Gujarat,ecommerce,true
Amul Cheese Slices,Regular,BigBasket,Gujarat,ecommerce,true
Amul Cheese Slices,Regular,Blinkit,Delhi NCR,quick_commerce,true
Britannia Cheese Slices,Regular,BigBasket,Karnataka,ecommerce,true
Amul Cheese Cubes,Regular,BigBasket,Delhi NCR,ecommerce,true
Amul Cheese Spread,Regular,BigBasket,Gujarat,ecommerce,true
