product,variant,pack_size,unit,packaging_type,mrp,selling_price,fat_percent,protein_percent,shelf_life_days,status
Mother Dairy Curd,Regular,200,g,cup,17,16,4.5,3.0,15,active
Nestle Milk Man Curd,Regular,400,g,cup,40,38,4.0,3.0,15,active
Heritage Curd,Regular,400,g,pouch,32,30,4.5,3.0,15,active
Nandini Curd,Regular,400,g,pouch,28,27,4.5,3.0,15,active
Hatsun Curd,Regular,400,g,cup,35,34,4.0,3.0,15,active
Milma Curd,Regular,400,g,pouch,32,31,4.5,3.0,15,active
Amul Butter,Regular,100,g,pouch,50,48,80.0,0.6,120,active
Amul Butter,Premium,200,g,pouch,98,95,80.0,0.6,120,active
Mother Dairy Butter,Regular,100,g,pouch,48,46,80.0,0.6,120,active
Amul Ghee,Regular,100,ml,jar,145,140,99.5,0.2,365,active
Amul Ghee,Family,500,ml,jar,680,660,99.5,0.2,365,active
Amul Ghee,Premium,1,lt,jar,1300,1260,99.5,0.2,365,active
Mother Dairy Ghee,Regular,100,ml,jar,140,135,99.5,0.2,365,active
Mother Dairy Ghee,Family,500,ml,jar,660,640,99.5,0.2,365,active
Nestle EveryDay Ghee,Regular,100,ml,jar,142,138,99.5,0.2,365,active
Heritage Ghee,Regular,100,ml,jar,130,125,99.5,0.2,365,active
Dodla Ghee,Regular,100,ml,jar,130,125,99.5,0.2,365,active
Hatsun Ghee,Regular,100,ml,jar,135,130,99.5,0.2,365,active
Nandini Ghee,Regular,100,ml,jar,120,115,99.5,0.2,365,active
Milma Ghee,Regular,100,ml,jar,125,120,99.5,0.2,365,active
Amul Paneer,Regular,200,g,pack,80,75,20.0,18.0,15,active
Amul Paneer,Regular,500,g,pack,190,180,20.0,18.0,15,active
Amul Paneer,Premium,200,g,pack,90,85,22.0,20.0,15,active
Mother Dairy Paneer,Regular,200,g,pack,75,70,18.0,16.0,15,active
Mother Dairy Paneer,Regular,500,g,pack,180,170,18.0,16.0,15,active
Heritage Paneer,Regular,200,g,pack,72,68,18.0,16.0,15,active
Heritage Paneer,Regular,500,g,pack,175,165,18.0,16.0,15,active
Dodla Paneer,Regular,200,g,pack,70,66,18.0,16.0,15,active
Dodla Paneer,Regular,500,g,pack,170,160,18.0,16.0,15,active
Hatsun Paneer,Regular,200,g,pack,75,72,18.0,16.0,15,active
Nandini Paneer,Regular,200,g,pack,65,62,18.0,16.0,15,active
Amul Cheese,Regular,200,g,pack,100,95,25.0,20.0,180,active
Amul Cheese,Premium,400,g,pack,195,185,25.0,20.0,180,active
Britannia Cheese,Regular,200,g,pack,95,90,24.0,18.0,180,active
Go Cheese,Regular,200,g,pack,90,85,24.0,18.0,180,active
Amul Cheese Slices,Regular,200,g,pack,110,105,25.0,20.0,120,active
Britannia Cheese Slices,Regular,200,g,pack,100,95,24.0,18.0,120,active
Amul Cheese Cubes,Regular,200,g,pack,120,115,25.0,20.0,120,active
Amul Cheese Spread,Regular,200,g,jar,130,125,22.0,15.0,90,active
